Times,Fx,"Fx""",Fz,"Fz""",T,"T"""
0.0,-0.7717319130897522,0.6161901354789734,-1.8821618556976318,1.6028530597686768,0.09388616681098938,0.09848731756210327
0.04,5.606822967529297,4.0218329429626465,6.675381660461426,8.11148738861084,-0.06437300145626068,-2.5197041034698486
0.08,0.7280875444412231,0.8320965766906738,5.804237365722656,0.8603353500366211,0.0039317370392382145,-0.07600046694278717
0.12,2.754434108734131,1.1536740064620972,15.697565078735352,3.9485487937927246,-0.24989691376686096,-0.7652720212936401
0.16,0.1175846979022026,0.14946825802326202,-2.3586223125457764,0.9731476902961731,-0.0019136799965053797,0.10462270677089691
0.2,-0.6093631386756897,0.01810663565993309,-1.413460373878479,0.4089381992816925,0.044494979083538055,0.02977120876312256
0.24,39.955284118652344,31.266355514526367,26.594547271728516,24.384918212890625,0.8369531631469727,-0.17466720938682556
0.28,35.88402557373047,32.985633850097656,35.98490905761719,25.5150089263916,0.7533251643180847,-0.6835838556289673
0.32,37.87153625488281,38.43185043334961,45.65003967285156,41.83896255493164,-0.08268873393535614,-0.4642127454280853
0.36,36.82084274291992,36.03900146484375,45.71728515625,40.69488525390625,0.15736256539821625,0.07250133156776428
0.4,9.145270347595215,7.768616199493408,7.026618480682373,8.722333908081055,2.2439627647399902,2.6888434886932373
0.44,44.181785583496094,42.09027099609375,50.381683349609375,47.81818771362305,0.09497050195932388,0.07504764199256897
0.48,33.08386993408203,42.361061096191406,19.113155364990234,24.044139862060547,0.6506953835487366,0.3813993036746979
0.52,0.39991435408592224,-0.04571313038468361,-1.07758629322052,0.34914666414260864,-0.0015086400089785457,0.036508481949567795
0.56,-0.9427289962768555,-0.027638882398605347,0.031426288187503815,0.25849422812461853,0.0006100010359659791,-0.010773442685604095
0.6,18.74337387084961,36.58787536621094,18.26557731628418,26.217082977294922,0.5955182313919067,0.027498867362737656
0.64,40.48638916015625,45.29679870605469,26.34632682800293,25.137657165527344,0.5925962328910828,0.3637482225894928
0.68,-0.796965479850769,4.410185813903809,11.059385299682617,10.397976875305176,-2.8170862197875977,-3.753024101257324
0.72,1.6867930889129639,7.86433744430542,9.325188636779785,10.789008140563965,-0.013878874480724335,0.4462786018848419
0.76,0.18616193532943726,-0.07752232253551483,-0.23331360518932343,0.3881484568119049,-0.014979175291955471,-0.060583118349313736
0.8,38.67716598510742,38.713539123535156,45.688270568847656,41.47612380981445,0.0236407071352005,-0.3700426518917084
0.84,0.7688140869140625,0.32394981384277344,0.49210843443870544,0.6758200526237488,0.047513511031866074,0.1335555613040924
0.88,0.32300400733947754,0.03057967498898506,1.1644293069839478,0.46222519874572754,0.02122802659869194,-0.0034918896853923798
0.92,1.1021145582199097,3.8490781784057617,3.6938493251800537,5.396420955657959,-1.0031757354736328,-2.845336437225342
0.96,8.26370620727539,10.307068824768066,5.246898174285889,12.067608833312988,2.2695627212524414,2.7415640354156494
1.0,11.082579612731934,8.763537406921387,9.219097137451172,9.52529525756836,2.937330722808838,2.822876214981079
1.04,0.43943914771080017,1.8128721714019775,6.760618209838867,7.877086162567139,-3.8246805667877197,-3.473912239074707
